dataset,variable,descripcion,tipo_variable,rol_analitico,nivel_nulos,redundancia,decision,justificacion
capa3_master_encuesta,id_respuesta,Identificador único de respuesta,tecnica,identificador,bajo,ninguna,mantener,Clave técnica necesaria para trazabilidad y cruces con tablas long
capa3_master_encuesta,timestamp,Marca temporal de respuesta,tecnica,trazabilidad,bajo,baja,mantener_solo_trazabilidad,"Útil para control de captura, no es variable central del análisis sustantivo"
capa3_master_encuesta,grupo_edad,Grupo generacional del encuestado,nucleo,segmentacion,bajo,ninguna,mantener,Variable central para el análisis comparativo por generaciones
capa3_master_encuesta,sexo,Sexo del encuestado,auxiliar,segmentacion,bajo,baja,mantener,Variable de segmentación complementaria para perfilar respuestas
capa3_master_encuesta,rrss_habituales / marcas_ve_frecuencia_rrss / marcas_que_mas_influyen_compra_rrss,Campos multirrespuesta originales,tecnica,trazabilidad,medio,alta,mantener_solo_trazabilidad,"Se conservan para auditoría, pero el análisis multirrespuesta opera sobre tablas long normalizadas"
capa3_clustering_ready,bloque_sociodemografico + bloque_comportamiento + indices_compuestos,Dataset final para segmentación de consumidores,mixta,analisis_principal,bajo,media,mantener,Resume las variables más útiles para clustering y perfilado de segmentos
capa3_supervised_ready,bloque_features + targets_binarios,Dataset final para modelos supervisados,mixta,analisis_principal,bajo,media,mantener_con_control,"Se mantiene como base supervisada, excluyendo variables con fuga de información hacia los targets"
capa3_generacion_summary,metricas_agregadas_por_generacion,Resumen agregado por grupo de edad,contextual,contexto,bajo,baja,mantener_contexto,Útil para EDA y narrativa comparativa entre generaciones
encuesta_rrss_long,id_respuesta / rrss,Tabla long de redes sociales utilizadas,nucleo,multirrespuesta,bajo,baja,mantener,Base normalizada para ranking y análisis de redes sociales
encuesta_marcas_vistas_long,id_respuesta / marca_vista_rrss,Tabla long de marcas vistas en redes,nucleo,multirrespuesta,bajo,baja,mantener,Base normalizada para ranking de exposición a marcas en redes
encuesta_marcas_influyen_long,id_respuesta / marca_influye_compra_rrss,Tabla long de marcas que influyen en compra,nucleo,multirrespuesta,bajo,baja,mantener,Base normalizada para ranking de influencia de marca en compra
capa3_sample_structure,grupo_edad + sexo + n_respuestas,Resumen de la composición muestral por generación y sexo,contextual,control_muestral,bajo,baja,mantener_contexto,Permite documentar la estructura muestral y justificar la composición de la encuesta
capa3_target_summary,target + n_validos + pct_clase_1 + pct_clase_0,Resumen del balance de clases de los targets binarios,contextual,control_modelizacion,bajo,baja,mantener_contexto,Permite documentar el balance de clases antes de la fase supervisada
