date,choni
2019-12-29,59
2020-01-05,60
2020-01-12,64
2020-01-19,57
2020-01-26,52
2020-02-02,60
2020-02-09,68
2020-02-16,88
2020-02-23,100
2020-03-01,51
2020-03-08,50
2020-03-15,57
2020-03-22,52
2020-03-29,67
2020-04-05,80
2020-04-12,75
2020-04-19,65
2020-04-26,64
2020-05-03,55
2020-05-10,46
2020-05-17,62
2020-05-24,74
2020-05-31,54
2020-06-07,57
2020-06-14,77
2020-06-21,61
2020-06-28,70
2020-07-05,58
2020-07-12,55
2020-07-19,72
2020-07-26,71
2020-08-02,86
2020-08-09,98
2020-08-16,64
2020-08-23,59
2020-08-30,60
2020-09-06,56
2020-09-13,65
2020-09-20,45
2020-09-27,62
2020-10-04,52
2020-10-11,57
2020-10-18,47
2020-10-25,61
2020-11-01,59
2020-11-08,51
2020-11-15,52
2020-11-22,59
2020-11-29,47
2020-12-06,53
2020-12-13,49
2020-12-20,60
2020-12-27,77
