date,cayetana
2019-12-29,6
2020-01-05,15
2020-01-12,7
2020-01-19,5
2020-01-26,4
2020-02-02,6
2020-02-09,16
2020-02-16,5
2020-02-23,8
2020-03-01,34
2020-03-08,12
2020-03-15,6
2020-03-22,6
2020-03-29,4
2020-04-05,11
2020-04-12,11
2020-04-19,13
2020-04-26,8
2020-05-03,6
2020-05-10,7
2020-05-17,14
2020-05-24,54
2020-05-31,26
2020-06-07,21
2020-06-14,13
2020-06-21,14
2020-06-28,7
2020-07-05,5
2020-07-12,7
2020-07-19,6
2020-07-26,6
2020-08-02,6
2020-08-09,7
2020-08-16,100
2020-08-23,19
2020-08-30,16
2020-09-06,11
2020-09-13,7
2020-09-20,11
2020-09-27,5
2020-10-04,9
2020-10-11,7
2020-10-18,10
2020-10-25,6
2020-11-01,6
2020-11-08,7
2020-11-15,6
2020-11-22,6
2020-11-29,4
2020-12-06,4
2020-12-13,5
2020-12-20,6
2020-12-27,5
