date,zara online
2019-12-29,57
2020-01-05,100
2020-01-12,68
2020-01-19,56
2020-01-26,50
2020-02-02,46
2020-02-09,38
2020-02-16,36
2020-02-23,37
2020-03-01,36
2020-03-08,30
2020-03-15,21
2020-03-22,22
2020-03-29,29
2020-04-05,43
2020-04-12,57
2020-04-19,62
2020-04-26,80
2020-05-03,93
2020-05-10,78
2020-05-17,88
2020-05-24,83
2020-05-31,72
2020-06-07,59
2020-06-14,53
2020-06-21,80
2020-06-28,68
2020-07-05,61
2020-07-12,47
2020-07-19,43
2020-07-26,40
2020-08-02,38
2020-08-09,37
2020-08-16,38
2020-08-23,38
2020-08-30,45
2020-09-06,41
2020-09-13,43
2020-09-20,45
2020-09-27,51
2020-10-04,50
2020-10-11,50
2020-10-18,46
2020-10-25,44
2020-11-01,50
2020-11-08,49
2020-11-15,50
2020-11-22,83
2020-11-29,58
2020-12-06,59
2020-12-13,51
2020-12-20,45
2020-12-27,55
