date,stradivarius
2019-12-29,67
2020-01-05,100
2020-01-12,63
2020-01-19,57
2020-01-26,53
2020-02-02,52
2020-02-09,43
2020-02-16,42
2020-02-23,42
2020-03-01,45
2020-03-08,31
2020-03-15,15
2020-03-22,19
2020-03-29,21
2020-04-05,28
2020-04-12,28
2020-04-19,33
2020-04-26,43
2020-05-03,50
2020-05-10,49
2020-05-17,65
2020-05-24,64
2020-05-31,61
2020-06-07,59
2020-06-14,50
2020-06-21,74
2020-06-28,68
2020-07-05,57
2020-07-12,52
2020-07-19,49
2020-07-26,44
2020-08-02,41
2020-08-09,38
2020-08-16,35
2020-08-23,35
2020-08-30,41
2020-09-06,39
2020-09-13,41
2020-09-20,46
2020-09-27,50
2020-10-04,52
2020-10-11,50
2020-10-18,46
2020-10-25,46
2020-11-01,49
2020-11-08,52
2020-11-15,49
2020-11-22,87
2020-11-29,55
2020-12-06,62
2020-12-13,54
2020-12-20,54
2020-12-27,60
