date,shein
2019-12-29,26
2020-01-05,28
2020-01-12,29
2020-01-19,30
2020-01-26,32
2020-02-02,34
2020-02-09,31
2020-02-16,29
2020-02-23,31
2020-03-01,37
2020-03-08,27
2020-03-15,23
2020-03-22,27
2020-03-29,36
2020-04-05,54
2020-04-12,49
2020-04-19,47
2020-04-26,58
2020-05-03,75
2020-05-10,67
2020-05-17,80
2020-05-24,99
2020-05-31,95
2020-06-07,100
2020-06-14,94
2020-06-21,93
2020-06-28,94
2020-07-05,84
2020-07-12,80
2020-07-19,79
2020-07-26,74
2020-08-02,70
2020-08-09,65
2020-08-16,64
2020-08-23,59
2020-08-30,60
2020-09-06,56
2020-09-13,49
2020-09-20,52
2020-09-27,53
2020-10-04,54
2020-10-11,56
2020-10-18,53
2020-10-25,49
2020-11-01,58
2020-11-08,68
2020-11-15,60
2020-11-22,68
2020-11-29,59
2020-12-06,58
2020-12-13,50
2020-12-20,44
2020-12-27,46
