id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
17,18 - 28 años,Mujer,5,3,101 - 200€,3,3,3,1,5.0,3.6,3.5,5.0,5.0,5.0,1.0,0.0
18,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,0,4.6,2.6,4.5,5.0,5.0,2.0,1.0,1.0
19,18 - 28 años,Mujer,3,5,30 - 60€,3,5,3,0,3.4,4.0,4.0,5.0,5.0,3.5,0.0,0.0
20,18 - 28 años,Mujer,4,3,Menos de 30€,5,4,5,1,5.0,4.6,4.5,5.0,5.0,4.5,1.0,1.0
21,18 - 28 años,Mujer,3,3,30 - 60€,1,2,2,0,2.6,1.6,1.0,5.0,3.5,1.5,0.0,0.0
22,18 - 28 años,Mujer,2,3,61 - 100€,2,4,2,0,3.0,2.6,1.5,5.0,3.0,3.5,0.0,0.0
23,18 - 28 años,Mujer,3,5,Menos de 30€,3,2,1,1,4.2,1.6,3.0,4.0,4.0,1.0,0.0,0.0
24,18 - 28 años,Mujer,5,5,Menos de 30€,3,1,2,0,2.4,2.0,3.0,5.0,5.0,2.0,0.0,0.0
25,56 años o más,Mujer,4,3,61 - 100€,3,4,3,1,3.6,3.0,3.5,4.0,4.0,4.0,0.0,0.0
26,45 - 55 años,Mujer,3,4,61 - 100€,2,1,4,0,2.6,2.4,3.0,4.0,5.0,2.5,0.0,0.0
27,18 - 28 años,Hombre,2,4,Menos de 30€,3,3,3,1,4.2,2.6,3.5,4.0,5.0,2.0,1.0,0.0
28,18 - 28 años,Hombre,2,4,Menos de 30€,3,1,1,0,1.0,1.0,2.0,3.0,4.5,1.0,0.0,0.0
29,18 - 28 años,Hombre,3,4,30 - 60€,2,1,2,0,2.8,2.8,3.5,5.0,4.0,2.0,0.0,0.0
30,18 - 28 años,Mujer,3,2,30 - 60€,4,2,2,1,4.8,2.8,3.5,4.0,5.0,3.0,1.0,1.0
31,18 - 28 años,Mujer,4,3,30 - 60€,1,2,4,0,4.0,2.8,4.0,4.0,4.5,3.0,0.0,0.0
32,29 - 44 años,Mujer,4,3,30 - 60€,2,2,2,1,4.2,2.6,4.5,3.0,3.5,1.5,1.0,1.0
33,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,3,0,2.6,1.6,2.0,4.0,4.0,1.5,0.0,0.0
34,18 - 28 años,Hombre,3,2,30 - 60€,2,2,1,0,1.6,1.8,2.5,4.0,4.0,2.5,0.0,0.0
35,56 años o más,Hombre,4,5,61 - 100€,1,1,1,0,1.8,2.0,2.0,4.0,3.5,1.5,0.0,0.0
36,18 - 28 años,Mujer,4,2,61 - 100€,3,5,4,1,4.4,4.2,3.5,4.0,5.0,5.0,1.0,1.0
37,18 - 28 años,Mujer,2,4,Menos de 30€,4,4,4,0,4.2,2.4,3.0,5.0,5.0,2.0,1.0,0.0
38,56 años o más,Hombre,3,3,61 - 100€,1,1,1,0,1.4,1.2,1.0,5.0,1.5,1.0,0.0,0.0
39,18 - 28 años,Hombre,3,5,Menos de 30€,2,3,2,1,2.6,1.4,3.5,5.0,5.0,1.0,1.0,0.0
40,18 - 28 años,Mujer,1,3,Menos de 30€,4,2,3,0,4.0,2.0,3.5,4.0,5.0,2.5,0.0,0.0
41,56 años o más,Mujer,2,5,Menos de 30€,1,2,1,0,1.4,2.4,2.0,5.0,4.0,3.0,0.0,0.0
42,45 - 55 años,Hombre,1,5,61 - 100€,1,1,1,0,1.0,1.4,1.0,1.0,3.5,1.5,0.0,0.0
43,18 - 28 años,Mujer,5,2,61 - 100€,2,4,4,1,4.2,4.2,4.0,5.0,4.0,4.5,1.0,1.0
44,18 - 28 años,Mujer,3,4,30 - 60€,3,3,3,1,4.2,3.6,3.0,5.0,5.0,4.5,0.0,1.0
45,18 - 28 años,Mujer,3,1,30 - 60€,1,4,4,1,4.2,3.4,3.5,4.0,5.0,1.0,1.0,1.0
46,18 - 28 años,Mujer,5,3,61 - 100€,4,4,4,1,4.0,2.0,4.5,2.0,4.0,1.0,1.0,1.0
47,56 años o más,Mujer,3,5,Menos de 30€,3,3,2,0,1.8,1.4,1.0,5.0,3.5,1.0,0.0,0.0
48,18 - 28 años,Mujer,4,4,Menos de 30€,4,3,1,0,2.4,2.2,1.0,5.0,5.0,1.0,0.0,0.0
49,56 años o más,Hombre,2,5,30 - 60€,3,2,5,0,1.8,2.6,4.0,3.0,4.5,1.0,0.0,0.0
50,29 - 44 años,Mujer,3,2,Menos de 30€,2,2,3,1,4.8,2.6,3.5,4.0,5.0,4.0,1.0,1.0
51,45 - 55 años,Mujer,3,1,30 - 60€,4,1,5,0,3.8,4.2,3.0,5.0,5.0,3.0,1.0,1.0
52,18 - 28 años,Hombre,3,5,Menos de 30€,2,1,2,1,3.6,2.6,3.0,3.0,2.5,3.0,0.0,0.0
53,18 - 28 años,Hombre,3,3,30 - 60€,4,2,1,0,1.8,1.0,3.0,5.0,5.0,1.0,0.0,0.0
54,18 - 28 años,Mujer,4,2,61 - 100€,5,3,1,1,4.6,4.0,4.5,4.0,5.0,3.0,1.0,1.0
55,18 - 28 años,Mujer,5,4,61 - 100€,5,5,5,1,5.0,4.2,4.0,5.0,5.0,3.5,1.0,1.0
56,18 - 28 años,Mujer,3,5,61 - 100€,2,3,2,0,3.8,3.2,4.5,5.0,5.0,4.0,1.0,0.0
57,18 - 28 años,Mujer,3,4,Menos de 30€,2,2,1,0,1.2,1.0,1.0,5.0,5.0,1.0,0.0,0.0
58,18 - 28 años,Mujer,2,5,Menos de 30€,2,1,1,0,3.0,2.0,3.5,5.0,5.0,3.0,0.0,0.0
59,18 - 28 años,Mujer,3,1,61 - 100€,3,1,3,1,4.2,3.0,3.0,5.0,5.0,5.0,1.0,0.0
60,18 - 28 años,Mujer,2,1,30 - 60€,5,3,1,0,3.4,3.6,2.0,3.0,3.5,3.0,1.0,0.0
61,18 - 28 años,Mujer,4,4,30 - 60€,5,4,3,1,4.8,3.6,3.5,4.0,4.5,3.0,1.0,1.0
62,18 - 28 años,Hombre,2,5,61 - 100€,4,1,1,0,2.0,1.4,3.5,3.0,4.5,1.0,1.0,0.0
63,18 - 28 años,Hombre,2,4,30 - 60€,4,4,2,0,3.6,1.4,3.5,4.0,5.0,1.0,1.0,0.0
64,18 - 28 años,Mujer,4,3,61 - 100€,5,5,3,0,5.0,4.4,4.0,5.0,5.0,5.0,1.0,1.0
65,18 - 28 años,Hombre,2,2,Menos de 30€,2,1,1,0,2.4,2.0,3.0,4.0,4.5,2.0,0.0,0.0
66,29 - 44 años,Hombre,3,2,30 - 60€,1,2,1,0,2.2,2.0,1.5,5.0,4.0,2.0,0.0,0.0
67,18 - 28 años,Mujer,3,4,30 - 60€,4,3,3,0,4.4,3.6,4.5,5.0,4.5,3.0,1.0,1.0
68,45 - 55 años,Mujer,3,5,Menos de 30€,1,2,1,0,1.0,1.6,1.0,5.0,3.5,1.0,0.0,0.0
69,56 años o más,Mujer,2,2,101 - 200€,1,2,1,0,1.8,3.0,4.0,4.0,3.0,4.0,0.0,0.0
70,18 - 28 años,Mujer,3,4,30 - 60€,3,5,5,1,5.0,4.4,5.0,5.0,5.0,2.5,1.0,1.0
71,45 - 55 años,Hombre,2,5,Menos de 30€,2,1,1,0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0
72,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,1,4.4,4.0,3.0,5.0,5.0,3.0,1.0,1.0
73,18 - 28 años,Mujer,3,4,61 - 100€,4,4,4,1,4.0,2.8,4.0,4.0,3.0,2.0,1.0,1.0
74,56 años o más,Mujer,3,5,30 - 60€,1,1,1,0,1.2,1.6,1.0,5.0,5.0,1.5,0.0,0.0
75,56 años o más,Mujer,5,3,30 - 60€,1,2,2,1,2.6,3.4,3.0,1.0,1.0,2.0,0.0,0.0
76,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,3.0,2.0,1.5,0.0,0.0
77,29 - 44 años,Hombre,5,5,30 - 60€,2,2,3,1,3.4,3.6,4.0,4.0,2.5,4.0,1.0,0.0
78,18 - 28 años,Hombre,3,3,Más de 200€,4,3,3,1,4.2,3.0,3.5,5.0,4.5,4.0,1.0,1.0
79,56 años o más,Hombre,5,5,Menos de 30€,1,1,1,0,1.0,1.6,1.0,5.0,4.0,1.0,0.0,0.0
80,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,1,0,1.4,1.2,1.0,5.0,5.0,1.0,0.0,0.0
81,18 - 28 años,Mujer,4,4,30 - 60€,5,4,4,1,5.0,3.8,4.5,5.0,4.5,4.5,1.0,1.0
82,18 - 28 años,Hombre,3,4,30 - 60€,4,4,2,1,4.4,3.8,4.0,5.0,5.0,4.5,1.0,1.0
83,56 años o más,Hombre,3,1,30 - 60€,2,1,1,0,1.4,1.4,2.5,4.0,3.5,2.0,0.0,0.0
84,18 - 28 años,Hombre,1,4,Menos de 30€,3,1,1,0,1.0,1.4,1.0,4.0,4.0,1.0,0.0,0.0
85,56 años o más,Hombre,3,5,Más de 200€,1,1,1,0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0
86,18 - 28 años,Mujer,5,5,30 - 60€,4,4,3,1,5.0,2.8,4.0,5.0,5.0,3.0,1.0,1.0
87,18 - 28 años,Mujer,2,2,Menos de 30€,3,3,2,1,4.6,4.0,2.0,5.0,5.0,2.0,1.0,1.0
88,18 - 28 años,Mujer,2,5,30 - 60€,3,2,2,1,3.2,2.8,4.0,4.0,5.0,2.5,1.0,1.0
89,18 - 28 años,Hombre,2,1,Menos de 30€,1,1,2,0,2.0,2.4,3.0,5.0,5.0,1.0,0.0,0.0
90,18 - 28 años,Mujer,4,2,30 - 60€,4,5,5,1,4.8,4.6,3.0,5.0,5.0,4.0,0.0,1.0
91,18 - 28 años,Mujer,5,4,101 - 200€,4,4,5,1,4.8,4.4,3.5,4.0,5.0,4.0,1.0,0.0
92,18 - 28 años,Mujer,3,2,30 - 60€,3,4,4,0,4.6,2.2,3.0,5.0,5.0,1.5,0.0,0.0
93,18 - 28 años,Mujer,3,2,30 - 60€,4,4,5,1,5.0,4.4,3.0,4.0,5.0,4.0,1.0,1.0
94,18 - 28 años,Mujer,4,4,30 - 60€,4,2,2,1,4.0,2.8,3.5,4.0,5.0,2.0,1.0,1.0
95,45 - 55 años,Hombre,2,3,61 - 100€,1,1,1,0,1.0,1.4,1.0,4.0,1.5,1.0,0.0,0.0
96,18 - 28 años,Mujer,3,2,30 - 60€,2,2,2,1,3.8,3.0,2.5,5.0,5.0,4.0,0.0,0.0
97,18 - 28 años,Hombre,2,5,Menos de 30€,3,2,2,0,1.8,1.4,2.0,5.0,5.0,1.0,0.0,0.0
98,18 - 28 años,Mujer,3,5,Menos de 30€,4,3,3,0,4.2,3.0,3.5,5.0,5.0,1.5,1.0,0.0
99,56 años o más,Mujer,4,2,61 - 100€,1,2,2,0,2.8,1.8,1.5,5.0,5.0,2.0,0.0,0.0
100,56 años o más,Hombre,2,5,30 - 60€,2,1,1,0,1.6,1.2,1.0,5.0,3.5,3.0,0.0,0.0
101,29 - 44 años,Mujer,5,1,61 - 100€,1,1,1,1,4.0,3.0,1.5,5.0,4.5,2.0,0.0,0.0
102,18 - 28 años,Mujer,3,4,30 - 60€,4,3,3,0,3.2,3.6,2.5,5.0,5.0,4.5,1.0,0.0
103,18 - 28 años,Hombre,4,5,Menos de 30€,3,4,5,0,1.6,1.8,3.5,5.0,4.5,1.0,0.0,0.0
104,18 - 28 años,Mujer,5,4,101 - 200€,3,5,5,1,5.0,4.2,3.5,5.0,5.0,4.5,1.0,1.0
105,18 - 28 años,Mujer,4,4,30 - 60€,3,5,5,1,5.0,4.6,4.5,5.0,5.0,1.5,1.0,1.0
106,18 - 28 años,Mujer,4,3,30 - 60€,4,2,1,1,3.6,3.0,2.5,4.0,4.0,3.0,0.0,0.0
107,56 años o más,Hombre,2,1,30 - 60€,1,1,1,0,1.2,1.0,1.0,1.0,3.0,3.0,0.0,0.0
108,18 - 28 años,Mujer,3,3,61 - 100€,2,4,2,1,4.0,2.8,4.0,4.0,5.0,3.0,0.0,1.0
109,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0
110,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0
111,18 - 28 años,Hombre,4,1,101 - 200€,2,1,1,0,3.2,2.6,1.0,5.0,4.0,2.5,0.0,0.0
112,18 - 28 años,Hombre,1,5,Menos de 30€,4,2,1,0,1.8,1.6,2.5,5.0,5.0,1.5,0.0,0.0
113,18 - 28 años,Mujer,3,5,61 - 100€,4,4,4,0,3.6,3.8,2.0,5.0,4.0,2.5,0.0,0.0
114,18 - 28 años,Mujer,3,4,Menos de 30€,4,3,2,1,4.2,3.2,3.5,5.0,5.0,3.0,1.0,0.0
115,45 - 55 años,Hombre,1,1,Menos de 30€,1,1,1,0,1.0,1.0,2.0,5.0,5.0,3.0,0.0,0.0
116,18 - 28 años,Mujer,3,3,61 - 100€,2,4,4,0,4.2,3.6,3.5,4.0,4.0,2.0,0.0,0.0
117,18 - 28 años,Mujer,3,3,30 - 60€,3,3,2,1,2.6,2.8,3.5,4.0,4.0,2.5,0.0,0.0
118,29 - 44 años,Mujer,5,1,30 - 60€,4,2,2,0,3.8,4.6,5.0,4.0,4.5,3.5,1.0,1.0
119,18 - 28 años,Hombre,2,4,Menos de 30€,4,1,2,0,3.2,2.8,3.0,3.0,3.0,3.0,0.0,0.0
120,18 - 28 años,Mujer,4,1,30 - 60€,3,4,3,1,5.0,4.0,4.5,3.0,5.0,4.0,1.0,1.0
121,18 - 28 años,Mujer,2,3,Menos de 30€,2,4,4,0,3.8,1.8,3.5,5.0,5.0,3.5,0.0,0.0
122,18 - 28 años,Hombre,3,3,Menos de 30€,4,5,5,1,4.8,4.4,4.5,5.0,5.0,4.0,0.0,0.0
123,18 - 28 años,Mujer,3,5,30 - 60€,4,3,4,1,5.0,5.0,3.5,5.0,5.0,5.0,1.0,1.0
124,18 - 28 años,Hombre,2,4,Menos de 30€,3,1,1,0,3.8,3.6,2.5,5.0,5.0,2.5,0.0,1.0
125,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,3,1,4.6,4.2,4.0,4.0,5.0,2.5,1.0,1.0
126,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,4,0,4.6,2.8,2.5,5.0,5.0,3.5,0.0,0.0
127,29 - 44 años,Hombre,5,4,30 - 60€,2,4,4,0,3.8,1.8,3.5,5.0,5.0,2.5,0.0,1.0
128,56 años o más,Mujer,5,5,30 - 60€,1,1,1,0,1.0,1.6,3.0,5.0,5.0,1.0,0.0,0.0
129,45 - 55 años,Mujer,5,4,101 - 200€,2,1,1,0,2.4,3.0,3.5,5.0,4.0,3.0,0.0,0.0
130,45 - 55 años,Hombre,3,1,30 - 60€,3,2,1,1,2.4,2.2,1.0,2.0,3.0,2.0,0.0,0.0
131,18 - 28 años,Hombre,1,5,Menos de 30€,3,1,2,0,1.8,2.4,1.5,2.0,2.0,1.0,0.0,0.0
132,29 - 44 años,Mujer,4,3,101 - 200€,2,3,4,1,3.6,3.6,4.0,4.0,5.0,4.0,1.0,1.0
133,56 años o más,Hombre,1,5,Menos de 30€,2,1,1,0,2.2,2.0,1.0,5.0,5.0,2.0,0.0,0.0
134,45 - 55 años,Mujer,3,4,30 - 60€,3,4,2,1,3.4,3.4,3.5,4.0,4.0,2.5,0.0,0.0
135,18 - 28 años,Mujer,5,2,61 - 100€,5,5,5,1,4.6,4.8,4.5,3.0,5.0,4.0,1.0,1.0
136,56 años o más,Mujer,5,5,30 - 60€,1,1,2,0,1.0,1.2,1.0,5.0,3.0,1.0,0.0,0.0
137,45 - 55 años,Mujer,3,2,30 - 60€,1,3,4,1,4.4,2.2,1.0,5.0,2.5,1.0,0.0,0.0
138,56 años o más,Mujer,3,5,101 - 200€,1,4,2,1,4.0,3.4,2.5,4.0,3.0,1.0,0.0,1.0
139,45 - 55 años,Mujer,5,5,30 - 60€,1,2,3,0,2.2,2.4,3.5,5.0,5.0,1.0,0.0,0.0
140,45 - 55 años,Mujer,2,5,Menos de 30€,3,1,1,0,1.4,1.2,1.0,5.0,5.0,1.0,0.0,0.0
141,45 - 55 años,Mujer,3,1,30 - 60€,1,1,1,0,2.0,3.6,3.0,5.0,5.0,3.5,0.0,0.0
142,45 - 55 años,Hombre,5,3,30 - 60€,1,2,2,1,2.0,1.6,1.0,3.0,2.0,2.0,0.0,0.0
143,45 - 55 años,Mujer,4,3,Menos de 30€,2,4,1,0,4.4,2.2,4.0,5.0,5.0,4.0,1.0,1.0
144,45 - 55 años,Hombre,3,3,30 - 60€,2,1,1,0,2.2,2.4,1.0,1.0,4.0,1.0,0.0,0.0
145,45 - 55 años,Mujer,3,4,61 - 100€,1,1,1,0,1.4,2.2,2.5,5.0,3.5,2.5,0.0,0.0
146,45 - 55 años,Mujer,3,5,Menos de 30€,2,2,2,0,2.2,1.8,1.5,5.0,4.5,1.5,0.0,0.0
147,18 - 28 años,Mujer,2,3,Menos de 30€,2,1,1,0,2.4,1.2,1.0,1.0,5.0,1.0,0.0,0.0
148,56 años o más,Mujer,5,5,30 - 60€,2,4,1,0,3.8,1.8,2.5,5.0,4.5,1.0,0.0,0.0
149,45 - 55 años,Mujer,4,4,61 - 100€,2,3,1,0,1.8,1.2,1.5,5.0,4.0,1.5,0.0,0.0
150,45 - 55 años,Mujer,5,3,Más de 200€,2,3,5,1,4.6,3.6,3.5,4.0,4.0,3.5,0.0,0.0
151,45 - 55 años,Mujer,5,5,61 - 100€,5,4,2,0,4.4,1.2,4.0,5.0,5.0,1.0,1.0,0.0
152,45 - 55 años,Hombre,5,3,Más de 200€,2,3,2,1,1.4,3.0,2.0,2.0,1.5,1.5,0.0,0.0
153,45 - 55 años,Mujer,5,5,101 - 200€,3,5,5,1,4.4,3.6,2.0,5.0,5.0,4.0,0.0,1.0
154,56 años o más,Mujer,5,3,61 - 100€,1,2,1,0,1.4,2.2,1.0,5.0,5.0,1.0,0.0,0.0
155,45 - 55 años,Mujer,3,5,30 - 60€,1,2,2,0,3.0,2.0,1.5,5.0,3.0,2.0,0.0,0.0
156,29 - 44 años,Mujer,3,2,61 - 100€,2,4,1,0,4.2,2.4,2.5,5.0,5.0,1.0,0.0,0.0
157,29 - 44 años,Mujer,4,3,30 - 60€,4,2,2,0,2.8,3.4,3.0,2.0,4.5,3.0,1.0,0.0
158,45 - 55 años,Hombre,3,3,30 - 60€,1,2,1,1,5.0,3.2,1.0,5.0,5.0,2.0,0.0,0.0
159,29 - 44 años,Hombre,2,2,Menos de 30€,2,1,1,0,1.6,1.8,3.0,3.0,4.0,2.0,0.0,0.0
160,29 - 44 años,Mujer,5,2,101 - 200€,2,3,3,1,3.8,3.8,4.0,4.0,4.5,4.0,0.0,0.0
161,45 - 55 años,Mujer,5,5,30 - 60€,1,2,4,1,4.2,3.4,4.5,5.0,5.0,3.0,1.0,1.0
162,18 - 28 años,Mujer,3,3,30 - 60€,3,3,3,0,4.2,3.6,2.0,5.0,5.0,2.5,0.0,0.0
163,29 - 44 años,Mujer,4,4,61 - 100€,3,4,5,1,3.6,3.8,3.5,4.0,5.0,4.0,1.0,0.0
164,29 - 44 años,Mujer,3,4,30 - 60€,5,4,3,1,3.2,3.4,3.5,5.0,5.0,3.5,1.0,0.0
165,29 - 44 años,Hombre,3,4,61 - 100€,3,1,1,0,3.4,3.4,3.5,4.0,5.0,2.0,0.0,0.0
166,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,5,1,4.4,4.0,5.0,4.0,5.0,3.5,1.0,1.0
167,45 - 55 años,Mujer,3,2,30 - 60€,1,2,1,1,3.4,2.6,1.0,5.0,4.5,3.0,0.0,0.0
168,45 - 55 años,Mujer,4,3,61 - 100€,2,2,2,0,2.6,3.8,3.5,4.0,4.5,2.0,0.0,0.0
169,29 - 44 años,Mujer,3,5,Menos de 30€,2,2,1,0,1.2,1.2,1.5,3.0,2.5,1.0,0.0,0.0
170,29 - 44 años,Mujer,5,1,101 - 200€,1,2,1,0,1.6,2.2,1.5,5.0,5.0,2.0,0.0,0.0
171,29 - 44 años,Hombre,2,1,61 - 100€,3,2,2,1,2.8,1.8,3.5,5.0,4.0,4.0,1.0,0.0
172,18 - 28 años,Mujer,5,3,Menos de 30€,2,3,3,0,4.0,3.8,2.5,3.0,5.0,3.0,0.0,0.0
173,18 - 28 años,Mujer,3,4,30 - 60€,3,4,4,1,3.6,3.2,3.0,5.0,5.0,3.0,0.0,0.0
174,29 - 44 años,Mujer,3,3,61 - 100€,2,3,3,1,3.2,2.4,2.0,4.0,2.5,3.0,1.0,1.0
175,18 - 28 años,Mujer,2,3,Menos de 30€,3,1,1,0,1.2,1.0,1.0,5.0,5.0,1.0,0.0,0.0
176,56 años o más,Mujer,5,5,Menos de 30€,1,1,1,0,1.0,2.0,1.5,5.0,2.5,1.0,0.0,0.0
177,18 - 28 años,Hombre,2,2,61 - 100€,5,3,3,1,4.0,3.0,2.5,5.0,5.0,1.5,1.0,1.0
178,29 - 44 años,Hombre,2,3,30 - 60€,2,2,1,0,3.6,2.6,1.0,5.0,4.5,1.0,0.0,0.0
179,18 - 28 años,Hombre,3,5,61 - 100€,4,2,1,1,3.8,3.2,3.0,5.0,5.0,3.0,0.0,0.0
180,18 - 28 años,Mujer,3,2,Menos de 30€,5,2,1,0,3.6,2.4,3.0,5.0,5.0,4.5,0.0,0.0
181,29 - 44 años,Mujer,4,2,Menos de 30€,2,3,3,1,3.6,3.0,4.0,4.0,4.0,3.5,1.0,1.0
182,18 - 28 años,Mujer,2,4,Menos de 30€,2,3,2,0,3.4,2.8,3.5,4.0,4.0,3.0,0.0,0.0
183,18 - 28 años,Mujer,2,2,Menos de 30€,4,2,2,0,2.2,2.0,2.5,5.0,4.0,1.5,0.0,0.0
184,18 - 28 años,Mujer,4,4,30 - 60€,4,2,1,0,3.6,2.6,3.5,4.0,4.0,3.5,1.0,1.0
185,18 - 28 años,Hombre,4,4,30 - 60€,2,1,2,1,4.2,3.2,4.0,5.0,3.5,4.5,1.0,1.0
186,18 - 28 años,Hombre,2,2,30 - 60€,4,3,2,0,3.4,2.6,3.0,5.0,5.0,2.5,0.0,0.0
187,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,2,1,2.4,2.6,3.0,5.0,4.0,3.0,0.0,0.0
188,29 - 44 años,Mujer,4,3,Menos de 30€,3,5,5,1,4.2,3.0,3.5,2.0,5.0,1.0,1.0,0.0
189,29 - 44 años,Mujer,3,3,Menos de 30€,4,5,5,1,4.8,3.6,2.5,5.0,5.0,3.0,0.0,0.0
190,18 - 28 años,Mujer,3,2,Menos de 30€,4,3,4,0,4.2,2.8,4.0,4.0,5.0,1.5,0.0,1.0
191,29 - 44 años,Mujer,3,1,61 - 100€,3,3,3,0,3.8,2.0,2.5,5.0,4.0,1.5,0.0,0.0
192,18 - 28 años,Mujer,2,4,Menos de 30€,4,2,2,0,1.8,1.6,3.0,5.0,4.0,1.5,0.0,0.0
193,18 - 28 años,Hombre,2,4,Menos de 30€,2,1,1,0,2.0,2.4,1.0,5.0,5.0,1.0,0.0,0.0
194,18 - 28 años,Mujer,5,3,101 - 200€,3,4,4,1,4.2,4.4,4.5,4.0,5.0,4.0,1.0,1.0
195,18 - 28 años,Mujer,4,5,Menos de 30€,4,3,2,1,5.0,3.8,3.5,5.0,5.0,3.5,1.0,1.0
196,18 - 28 años,Mujer,3,2,Menos de 30€,4,2,2,0,3.2,2.2,3.0,5.0,5.0,1.0,1.0,0.0
197,18 - 28 años,Mujer,4,3,30 - 60€,4,5,4,1,3.2,2.6,2.5,4.0,5.0,2.0,0.0,0.0
198,45 - 55 años,Mujer,3,1,30 - 60€,2,1,1,0,2.0,1.8,2.0,5.0,4.0,2.5,0.0,0.0
199,29 - 44 años,Hombre,1,2,101 - 200€,2,1,1,0,3.0,2.6,3.0,3.0,4.0,4.0,1.0,0.0
200,56 años o más,Hombre,2,1,Menos de 30€,3,2,1,0,3.8,1.6,1.5,3.0,4.0,3.0,1.0,1.0
201,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,2,0,4.0,2.2,2.5,5.0,5.0,2.5,1.0,0.0
202,29 - 44 años,Hombre,3,5,30 - 60€,2,2,2,0,3.0,2.8,3.0,4.0,5.0,2.5,1.0,0.0
203,18 - 28 años,Hombre,2,3,30 - 60€,2,2,1,1,4.2,3.4,4.5,5.0,5.0,4.0,1.0,1.0
204,18 - 28 años,Hombre,3,4,30 - 60€,4,3,3,1,4.2,3.4,3.0,2.0,3.5,3.5,0.0,1.0
205,18 - 28 años,Hombre,3,5,Menos de 30€,4,2,2,1,4.8,3.4,3.5,5.0,5.0,2.0,1.0,1.0
